rank,addr,score,refs,already_seeded,priority_reason
1,0xF8038304,355,3,False,"refs=3,region=clean_window,multi_ref_bonus"
2,0xF807B6BC,325,3,False,"refs=3,region=upper_text,multi_ref_bonus"
3,0xF80220E0,257,2,False,"refs=2,region=clean_window,near_unresolved=0x690"
4,0xF8031C98,256,2,False,"refs=2,region=clean_window,near_unresolved=0x75C"
5,0xF803249C,240,2,False,"refs=2,region=clean_window,near_unresolved=0xF60"
6,0xF8032550,238,2,False,"refs=2,region=clean_window,near_unresolved=0x1014"
7,0xF803017C,231,2,False,"refs=2,region=clean_window,near_unresolved=0x13C0"
8,0xF80262B0,230,2,False,"refs=2,region=clean_window"
9,0xF80282CC,230,2,False,"refs=2,region=clean_window"
10,0xF802AE5C,230,2,False,"refs=2,region=clean_window"
11,0xF802E474,230,2,False,"refs=2,region=clean_window"
12,0xF802EB94,230,2,False,"refs=2,region=clean_window"
13,0xF8033F90,230,2,False,"refs=2,region=clean_window"
14,0xF80342B0,230,2,False,"refs=2,region=clean_window"
15,0xF8034454,230,2,False,"refs=2,region=clean_window"
16,0xF8034568,230,2,False,"refs=2,region=clean_window"
17,0xF8034A94,230,2,False,"refs=2,region=clean_window"
18,0xF803543C,230,2,False,"refs=2,region=clean_window"
19,0xF8035ABC,230,2,False,"refs=2,region=clean_window"
20,0xF8035E60,230,2,False,"refs=2,region=clean_window"
21,0xF803619C,230,2,False,"refs=2,region=clean_window"
22,0xF80362DC,230,2,False,"refs=2,region=clean_window"
23,0xF8036A9C,230,2,False,"refs=2,region=clean_window"
24,0xF8036ED4,230,2,False,"refs=2,region=clean_window"
25,0xF80371BC,230,2,False,"refs=2,region=clean_window"
26,0xF8037714,230,2,False,"refs=2,region=clean_window"
27,0xF80380C4,230,2,False,"refs=2,region=clean_window"
28,0xF80381BC,230,2,False,"refs=2,region=clean_window"
29,0xF8038F34,230,2,False,"refs=2,region=clean_window"
30,0xF803B330,230,2,False,"refs=2,region=clean_window"
31,0xF803BE74,230,2,False,"refs=2,region=clean_window"
32,0xF805A2A8,215,2,False,"refs=2,region=mid_text"
33,0xF805A744,215,2,False,"refs=2,region=mid_text"
34,0xF805A7F4,215,2,False,"refs=2,region=mid_text"
35,0xF80740A4,200,2,False,"refs=2,region=upper_text"
36,0xF8074AA8,200,2,False,"refs=2,region=upper_text"
37,0xF8076440,200,2,False,"refs=2,region=upper_text"
38,0xF80764B8,200,2,False,"refs=2,region=upper_text"
39,0xF8076DD4,200,2,False,"refs=2,region=upper_text"
40,0xF80777A8,200,2,False,"refs=2,region=upper_text"
41,0xF807864C,200,2,False,"refs=2,region=upper_text"
42,0xF8079C44,200,2,False,"refs=2,region=upper_text"
43,0xF807B9F4,200,2,False,"refs=2,region=upper_text"
44,0xF807CFD0,200,2,False,"refs=2,region=upper_text"
45,0xF807EEF4,200,2,False,"refs=2,region=upper_text"
46,0xF8083D1C,200,2,False,"refs=2,region=upper_text"
47,0xF8087C18,200,2,False,"refs=2,region=upper_text"
48,0xF8088B34,200,2,False,"refs=2,region=upper_text"
49,0xF808EDC4,200,2,False,"refs=2,region=upper_text"
50,0xF8090840,200,2,False,"refs=2,region=upper_text"
51,0xF8090A78,200,2,False,"refs=2,region=upper_text"
52,0xF809244C,200,2,False,"refs=2,region=upper_text"
53,0xF80933B8,200,2,False,"refs=2,region=upper_text"
54,0xF8097F6C,200,2,False,"refs=2,region=upper_text"
55,0xF809817C,200,2,False,"refs=2,region=upper_text"
56,0xF80A0808,200,2,False,"refs=2,region=upper_text"
